fecha,precio,cantidad
05/03/2015,25.0,1.0
05/03/2015,25.0,1.0
06/03/2015,27.0,1.0
07/03/2015,27.0,1.0
07/03/2015,27.0,1.0
07/03/2015,27.0,2.0
07/03/2015,27.0,1.0
07/03/2015,27.0,1.0
07/03/2015,27.0,1.0
07/03/2015,27.0,1.0
08/03/2015,27.0,1.0
08/03/2015,27.0,1.0
08/03/2015,27.0,1.0
08/03/2015,27.0,2.0
10/03/2015,27.0,1.0
12/03/2015,27.0,1.0
12/03/2015,27.0,1.0
13/03/2015,27.0,1.0
13/03/2015,27.0,1.0
13/03/2015,27.0,1.0
14/03/2015,27.0,1.0
14/03/2015,27.0,1.0
15/03/2015,27.0,1.0
15/03/2015,27.0,1.0
15/03/2015,27.0,1.0
15/03/2015,27.0,1.0
15/03/2015,27.0,1.0
15/03/2015,27.0,2.0
15/03/2015,27.0,2.0
16/03/2015,27.0,1.0
17/03/2015,27.0,1.0
18/03/2015,27.0,1.0
19/03/2015,27.0,1.0
20/03/2015,27.0,1.0
20/03/2015,27.0,1.0
20/03/2015,27.0,1.0
20/03/2015,27.0,1.0
21/03/2015,27.0,1.0
21/03/2015,27.0,1.0
21/03/2015,27.0,2.0
21/03/2015,27.0,1.0
21/03/2015,27.0,1.0
21/03/2015,27.0,1.0
21/03/2015,27.0,1.0
22/03/2015,27.0,1.0
22/03/2015,27.0,1.0
22/03/2015,27.0,1.0
22/03/2015,27.0,1.0
22/03/2015,27.0,2.0
22/03/2015,27.0,1.0
22/03/2015,27.0,1.0
22/03/2015,27.0,1.0
22/03/2015,27.0,1.0
23/03/2015,27.0,1.0
23/03/2015,27.0,1.0
23/03/2015,27.0,1.0
23/03/2015,27.0,1.0
23/03/2015,28.0,1.0
23/03/2015,28.0,1.0
23/03/2015,28.0,1.0
23/03/2015,28.0,2.0
23/03/2015,28.0,1.0
23/03/2015,28.0,1.0
23/03/2015,28.0,2.0
27/03/2015,28.0,1.0
29/03/2015,28.0,1.0
29/03/2015,28.0,1.0
29/03/2015,28.0,1.0
29/03/2015,28.0,1.0
29/03/2015,28.0,1.0
31/03/2015,28.0,1.0
01/04/2015,28.0,1.0
02/04/2015,28.0,1.0
02/04/2015,28.0,1.0
03/04/2015,28.0,1.0
03/04/2015,28.0,1.0
03/04/2015,28.0,1.0
03/04/2015,28.0,1.0
04/04/2015,28.0,1.0
05/04/2015,28.0,1.0
05/04/2015,28.0,1.0
05/04/2015,28.0,1.0
05/04/2015,28.0,1.0
05/04/2015,28.0,1.0
05/04/2015,28.0,1.0
05/04/2015,28.0,1.0
05/04/2015,28.0,1.0
05/04/2015,28.0,1.0
05/04/2015,28.0,1.0
05/04/2015,28.0,1.0
05/04/2015,28.0,1.0
05/04/2015,28.0,1.0
08/04/2015,28.0,2.0
08/04/2015,28.0,1.0
09/04/2015,28.0,1.0
11/04/2015,28.0,1.0
11/04/2015,28.0,1.0
11/04/2015,28.0,1.0
11/04/2015,28.0,1.0
11/04/2015,28.0,2.0
11/04/2015,28.0,1.0
12/04/2015,28.0,3.0
12/04/2015,28.0,2.0
12/04/2015,28.0,1.0
12/04/2015,28.0,1.0
16/04/2015,28.0,1.0
17/04/2015,28.0,1.0
17/04/2015,28.0,1.0
17/04/2015,28.0,1.0
18/04/2015,28.0,1.0
18/04/2015,28.0,1.0
18/04/2015,28.0,1.0
18/04/2015,28.0,1.0
18/04/2015,28.0,1.0
19/04/2015,28.0,1.0
19/04/2015,28.0,1.0
19/04/2015,28.0,1.0
19/04/2015,28.0,1.0
19/04/2015,28.0,1.0
24/04/2015,28.0,1.0
24/04/2015,28.0,1.0
25/04/2015,28.0,1.0
25/04/2015,28.0,1.0
25/04/2015,28.0,1.0
25/04/2015,28.0,1.0
25/04/2015,28.0,1.0
25/04/2015,28.0,1.0
25/04/2015,28.0,1.0
25/04/2015,28.0,1.0
25/04/2015,28.0,1.0
25/04/2015,28.0,1.0
25/04/2015,28.0,1.0
25/04/2015,28.0,1.0
26/04/2015,28.0,1.0
26/04/2015,28.0,1.0
26/04/2015,28.0,1.0
26/04/2015,28.0,1.0
26/04/2015,28.0,1.0
26/04/2015,28.0,1.0
26/04/2015,28.0,1.0
27/04/2015,28.0,1.0
27/04/2015,28.0,1.0
28/04/2015,28.0,1.0
28/04/2015,28.0,1.0
28/04/2015,28.0,1.0
28/04/2015,28.0,1.0
29/04/2015,28.0,1.0
29/04/2015,28.0,1.0
29/04/2015,28.0,1.0
30/04/2015,28.0,1.0
30/04/2015,28.0,2.0
30/04/2015,28.0,1.0
01/05/2015,28.0,1.0
01/05/2015,28.0,1.0
01/05/2015,28.0,1.0
01/05/2015,28.0,1.0
01/05/2015,28.0,1.0
01/05/2015,28.0,1.0
01/05/2015,28.0,1.0
01/05/2015,28.0,1.0
02/05/2015,28.0,1.0
03/05/2015,28.0,1.0
03/05/2015,28.0,1.0
03/05/2015,28.0,1.0
03/05/2015,28.0,1.0
03/05/2015,28.0,1.0
03/05/2015,28.0,1.0
03/05/2015,28.0,1.0
04/05/2015,28.0,1.0
05/05/2015,28.0,1.0
06/05/2015,28.0,1.0
06/05/2015,28.0,1.0
07/05/2015,28.0,1.0
09/05/2015,28.0,1.0
09/05/2015,28.0,1.0
09/05/2015,28.0,1.0
11/05/2015,28.0,1.0
15/05/2015,28.0,1.0
16/05/2015,28.0,1.0
16/05/2015,28.0,1.0
16/05/2015,28.0,1.0
16/05/2015,28.0,1.0
17/05/2015,28.0,1.0
17/05/2015,28.0,1.0
17/05/2015,28.0,1.0
17/05/2015,28.0,1.0
18/05/2015,28.0,1.0
22/05/2015,28.0,3.0
22/05/2015,28.0,1.0
23/05/2015,28.0,1.0
24/05/2015,28.0,1.0
24/05/2015,28.0,1.0
24/05/2015,28.0,1.0
24/05/2015,28.0,1.0
24/05/2015,28.0,1.0
24/05/2015,28.0,1.0
25/05/2015,28.0,1.0
25/05/2015,28.0,1.0
25/05/2015,28.0,1.0
26/05/2015,28.0,1.0
26/05/2015,28.0,1.0
29/05/2015,28.0,1.0
30/05/2015,28.0,1.0
30/05/2015,28.0,1.0
30/05/2015,28.0,3.0
30/05/2015,28.0,1.0
30/05/2015,28.0,1.0
30/05/2015,28.0,1.0
30/05/2015,28.0,1.0
30/05/2015,28.0,2.0
30/05/2015,28.0,1.0
30/05/2015,28.0,1.0
30/05/2015,28.0,2.0
30/05/2015,28.0,1.0
03/06/2015,28.0,1.0
05/06/2015,28.0,1.0
05/06/2015,28.0,1.0
06/06/2015,28.0,1.0
06/06/2015,28.0,1.0
07/06/2015,28.0,1.0
07/06/2015,28.0,1.0
07/06/2015,28.0,1.0
07/06/2015,28.0,1.0
07/06/2015,28.0,1.0
07/06/2015,28.0,1.0
07/06/2015,28.0,1.0
11/06/2015,28.0,1.0
12/06/2015,28.0,1.0
13/06/2015,28.0,1.0
14/06/2015,28.0,1.0
14/06/2015,28.0,1.0
14/06/2015,28.0,1.0
14/06/2015,28.0,1.0
14/06/2015,28.0,1.0
14/06/2015,28.0,1.0
20/06/2015,28.0,1.0
20/06/2015,28.0,2.0
20/06/2015,28.0,1.0
20/06/2015,28.0,1.0
20/06/2015,28.0,2.0
21/06/2015,28.0,1.0
21/06/2015,28.0,1.0
21/06/2015,28.0,1.0
21/06/2015,28.0,1.0
21/06/2015,28.0,1.0
21/06/2015,28.0,1.0
21/06/2015,28.0,1.0
21/06/2015,28.0,1.0
21/06/2015,28.0,1.0
21/06/2015,28.0,1.0
23/06/2015,28.0,1.0
24/06/2015,28.0,1.0
26/06/2015,28.0,1.0
26/06/2015,28.0,1.0
26/06/2015,28.0,2.0
26/06/2015,28.0,1.0
26/06/2015,28.0,1.0
26/06/2015,28.0,2.0
27/06/2015,28.0,1.0
27/06/2015,28.0,1.0
27/06/2015,28.0,1.0
27/06/2015,28.0,1.0
27/06/2015,28.0,1.0
27/06/2015,28.0,1.0
28/06/2015,28.0,1.0
28/06/2015,28.0,2.0
28/06/2015,28.0,1.0
30/06/2015,28.0,1.0
30/06/2015,28.0,1.0
30/06/2015,28.0,1.0
01/07/2015,28.0,1.0
02/07/2015,28.0,1.0
03/07/2015,28.0,1.0
03/07/2015,28.0,1.0
03/07/2015,28.0,1.0
04/07/2015,28.0,1.0
04/07/2015,28.0,1.0
04/07/2015,28.0,1.0
04/07/2015,28.0,1.0
04/07/2015,28.0,1.0
04/07/2015,28.0,1.0
05/07/2015,28.0,1.0
05/07/2015,28.0,1.0
05/07/2015,28.0,1.0
06/07/2015,28.0,2.0
08/07/2015,28.0,2.0
08/07/2015,28.0,1.0
10/07/2015,28.0,1.0
10/07/2015,28.0,1.0
10/07/2015,28.0,1.0
10/07/2015,28.0,1.0
10/07/2015,28.0,2.0
10/07/2015,28.0,1.0
10/07/2015,28.0,1.0
11/07/2015,28.0,1.0
11/07/2015,28.0,1.0
11/07/2015,28.0,1.0
14/07/2015,28.0,1.0
17/07/2015,28.0,3.0
17/07/2015,28.0,2.0
17/07/2015,28.0,1.0
17/07/2015,28.0,1.0
17/07/2015,28.0,1.0
17/07/2015,28.0,1.0
19/07/2015,28.0,1.0
19/07/2015,28.0,1.0
20/07/2015,28.0,1.0
23/07/2015,28.0,1.0
23/07/2015,28.0,1.0
24/07/2015,28.0,1.0
24/07/2015,28.0,1.0
24/07/2015,28.0,1.0
24/07/2015,28.0,1.0
25/07/2015,28.0,1.0
25/07/2015,28.0,1.0
25/07/2015,28.0,2.0
25/07/2015,28.0,1.0
25/07/2015,28.0,2.0
25/07/2015,28.0,1.0
26/07/2015,28.0,1.0
26/07/2015,28.0,1.0
26/07/2015,28.0,1.0
26/07/2015,28.0,1.0
27/07/2015,28.0,1.0
27/07/2015,28.0,1.0
31/07/2015,30.0,1.0
01/08/2015,30.0,1.0
01/08/2015,30.0,2.0
01/08/2015,30.0,1.0
01/08/2015,30.0,1.0
01/08/2015,30.0,2.0
02/08/2015,30.0,1.0
02/08/2015,30.0,1.0
02/08/2015,30.0,1.0
02/08/2015,30.0,1.0
02/08/2015,30.0,1.0
02/08/2015,30.0,1.0
02/08/2015,30.0,1.0
02/08/2015,30.0,1.0
02/08/2015,30.0,1.0
03/08/2015,30.0,1.0
03/08/2015,30.0,1.0
04/08/2015,30.0,1.0
06/08/2015,30.0,1.0
08/08/2015,30.0,1.0
08/08/2015,30.0,1.0
08/08/2015,30.0,1.0
08/08/2015,30.0,1.0
08/08/2015,30.0,1.0
09/08/2015,30.0,1.0
09/08/2015,30.0,2.0
09/08/2015,30.0,1.0
09/08/2015,30.0,1.0
09/08/2015,30.0,1.0
11/08/2015,30.0,1.0
12/08/2015,30.0,2.0
12/08/2015,30.0,1.0
12/08/2015,30.0,1.0
13/08/2015,30.0,1.0
15/08/2015,30.0,2.0
15/08/2015,30.0,1.0
15/08/2015,30.0,3.0
15/08/2015,30.0,1.0
15/08/2015,30.0,1.0
16/08/2015,30.0,1.0
16/08/2015,30.0,1.0
17/08/2015,30.0,1.0
17/08/2015,30.0,1.0
17/08/2015,30.0,1.0
17/08/2015,30.0,1.0
18/08/2015,30.0,1.0
19/08/2015,30.0,1.0
22/08/2015,30.0,1.0
22/08/2015,30.0,1.0
23/08/2015,30.0,1.0
23/08/2015,30.0,1.0
23/08/2015,30.0,1.0
23/08/2015,30.0,3.0
23/08/2015,30.0,1.0
23/08/2015,30.0,1.0
23/08/2015,30.0,1.0
24/08/2015,30.0,1.0
25/08/2015,30.0,1.0
26/08/2015,30.0,1.0
28/08/2015,30.0,1.0
29/08/2015,30.0,2.0
29/08/2015,30.0,1.0
29/08/2015,30.0,3.0
30/08/2015,30.0,1.0
30/08/2015,30.0,1.0
30/08/2015,30.0,1.0
30/08/2015,30.0,1.0
30/08/2015,30.0,1.0
30/08/2015,30.0,1.0
30/08/2015,30.0,1.0
30/08/2015,30.0,1.0
30/08/2015,30.0,2.0
30/08/2015,30.0,1.0
30/08/2015,30.0,1.0
30/08/2015,30.0,1.0
30/08/2015,30.0,1.0
03/09/2015,30.0,1.0
04/09/2015,30.0,3.0
04/09/2015,30.0,1.0
04/09/2015,30.0,1.0
04/09/2015,30.0,1.0
04/09/2015,30.0,1.0
04/09/2015,30.0,1.0
05/09/2015,30.0,1.0
05/09/2015,30.0,1.0
05/09/2015,30.0,1.0
05/09/2015,30.0,1.0
05/09/2015,30.0,1.0
05/09/2015,30.0,1.0
06/09/2015,30.0,1.0
06/09/2015,30.0,1.0
06/09/2015,30.0,1.0
06/09/2015,30.0,1.0
06/09/2015,30.0,1.0
06/09/2015,30.0,1.0
06/09/2015,30.0,1.0
06/09/2015,30.0,1.0
08/09/2015,30.0,2.0
10/09/2015,30.0,1.0
11/09/2015,30.0,1.0
11/09/2015,30.0,1.0
11/09/2015,30.0,1.0
11/09/2015,30.0,1.0
12/09/2015,30.0,2.0
12/09/2015,30.0,1.0
12/09/2015,30.0,1.0
12/09/2015,30.0,1.0
12/09/2015,30.0,1.0
12/09/2015,30.0,1.0
12/09/2015,30.0,1.0
12/09/2015,30.0,1.0
13/09/2015,30.0,1.0
13/09/2015,30.0,1.0
13/09/2015,30.0,1.0
13/09/2015,30.0,1.0
13/09/2015,30.0,1.0
13/09/2015,30.0,1.0
13/09/2015,30.0,2.0
14/09/2015,30.0,1.0
15/09/2015,30.0,1.0
16/09/2015,30.0,1.0
17/09/2015,30.0,1.0
18/09/2015,30.0,1.0
19/09/2015,30.0,1.0
19/09/2015,30.0,2.0
19/09/2015,30.0,1.0
20/09/2015,30.0,1.0
20/09/2015,30.0,1.0
20/09/2015,30.0,1.0
20/09/2015,30.0,1.0
20/09/2015,30.0,1.0
20/09/2015,30.0,1.0
20/09/2015,30.0,1.0
20/09/2015,30.0,1.0
20/09/2015,30.0,1.0
21/09/2015,30.0,1.0
21/09/2015,30.0,1.0
23/09/2015,30.0,1.0
25/09/2015,30.0,1.0
25/09/2015,30.0,1.0
26/09/2015,30.0,1.0
26/09/2015,30.0,1.0
26/09/2015,30.0,1.0
27/09/2015,30.0,2.0
27/09/2015,30.0,1.0
27/09/2015,30.0,1.0
27/09/2015,30.0,1.0
27/09/2015,30.0,1.0
30/09/2015,30.0,2.0
02/10/2015,30.0,1.0
02/10/2015,30.0,1.0
02/10/2015,30.0,1.0
03/10/2015,30.0,1.0
03/10/2015,30.0,2.0
03/10/2015,30.0,1.0
03/10/2015,30.0,1.0
03/10/2015,30.0,1.0
03/10/2015,30.0,1.0
03/10/2015,30.0,1.0
03/10/2015,30.0,1.0
04/10/2015,30.0,1.0
04/10/2015,30.0,1.0
04/10/2015,30.0,1.0
04/10/2015,30.0,1.0
04/10/2015,30.0,1.0
08/10/2015,30.0,1.0
08/10/2015,30.0,1.0
09/10/2015,30.0,1.0
10/10/2015,30.0,1.0
10/10/2015,30.0,1.0
11/10/2015,30.0,1.0
11/10/2015,30.0,1.0
11/10/2015,30.0,2.0
14/10/2015,30.0,1.0
14/10/2015,30.0,2.0
15/10/2015,30.0,1.0
15/10/2015,30.0,1.0
15/10/2015,30.0,1.0
16/10/2015,30.0,1.0
17/10/2015,30.0,1.0
17/10/2015,30.0,1.0
17/10/2015,30.0,1.0
17/10/2015,30.0,1.0
17/10/2015,30.0,1.0
18/10/2015,30.0,1.0
18/10/2015,30.0,1.0
18/10/2015,30.0,1.0
18/10/2015,30.0,1.0
18/10/2015,30.0,1.0
18/10/2015,30.0,1.0
18/10/2015,30.0,2.0
18/10/2015,30.0,1.0
18/10/2015,30.0,1.0
18/10/2015,30.0,1.0
18/10/2015,30.0,1.0
18/10/2015,30.0,1.0
19/10/2015,30.0,1.0
20/10/2015,30.0,1.0
22/10/2015,30.0,1.0
23/10/2015,30.0,1.0
24/10/2015,30.0,1.0
24/10/2015,30.0,1.0
24/10/2015,30.0,1.0
24/10/2015,30.0,1.0
24/10/2015,30.0,1.0
24/10/2015,30.0,2.0
25/10/2015,30.0,1.0
25/10/2015,30.0,1.0
25/10/2015,30.0,1.0
25/10/2015,30.0,1.0
25/10/2015,30.0,1.0
25/10/2015,30.0,1.0
25/10/2015,30.0,1.0
26/10/2015,30.0,1.0
28/10/2015,30.0,1.0
28/10/2015,30.0,1.0
30/10/2015,30.0,1.0
30/10/2015,30.0,1.0
30/10/2015,30.0,1.0
02/11/2015,30.0,1.0
02/11/2015,30.0,1.0
03/11/2015,30.0,1.0
03/11/2015,30.0,1.0
06/11/2015,30.0,1.0
06/11/2015,30.0,1.0
06/11/2015,30.0,1.0
07/11/2015,30.0,1.0
